                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6656,                 1.4538,                 1.6635,                 0.7032,                0.65731,                0.68781,                0.33748,                 1.7307,                 1.3835,                  1.738,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6506,                 1.4455,                 1.6627,                0.72236,                0.65563,                0.71022,                0.34485,                  1.707,                 1.3512,                 1.7269,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6401,                 1.4197,                 1.6456,                0.73559,                0.62823,                0.69436,                0.34173,                 1.7363,                 1.3681,                  1.745,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.6434,                   1.42,                 1.6485,                0.75915,                  0.655,                0.71915,                0.35883,                 1.7007,                 1.3428,                 1.7288,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.6347,                 1.4115,                 1.6506,                0.73781,                0.68249,                0.71706,                0.35202,                 1.7105,                 1.3427,                 1.7265,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.6305,                 1.3931,                 1.6415,                0.70482,                0.67165,                0.70725,                0.35504,                 1.6918,                 1.3644,                 1.7095,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.6208,                  1.371,                 1.6319,                0.72813,                0.67575,                0.72741,                0.36397,                 1.7148,                 1.3383,                 1.7513,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.6133,                 1.3718,                 1.6282,                0.69905,                0.65675,                0.70529,                0.34787,                 1.6957,                 1.3308,                 1.7115,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.6155,                 1.3748,                 1.6373,                0.72589,                0.67934,                0.71052,                0.35584,                 1.7157,                 1.3296,                 1.7501,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.6036,                 1.3347,                 1.6199,                0.71245,                 0.6754,                0.70252,                0.35167,                 1.7206,                  1.319,                 1.7229,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.6059,                 1.3328,                 1.6275,                0.76215,                0.65674,                0.72291,                0.34439,                 1.7072,                 1.3158,                 1.7304,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.5929,                 1.3478,                 1.6144,                0.72587,                 0.6687,                0.72946,                0.35389,                 1.7072,                 1.3006,                 1.7205,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.5934,                 1.3223,                 1.6033,                  0.759,                0.67285,                0.73686,                0.36142,                 1.7098,                 1.3011,                  1.721,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.5868,                 1.3198,                 1.6078,                0.72047,                0.67506,                0.71402,                0.35883,                 1.6999,                 1.2898,                 1.7298,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.5816,                 1.3097,                 1.6013,                0.74315,                0.66748,                0.72653,                0.35928,                 1.7087,                 1.3014,                 1.7187,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.5732,                 1.2893,                  1.595,                0.71858,                0.69798,                0.72706,                0.36457,                 1.6985,                 1.2945,                 1.7237,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.5643,                 1.2725,                 1.5893,                0.70404,                0.65956,                0.70987,                 0.3566,                 1.7199,                 1.3053,                 1.7339,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.5676,                 1.2762,                 1.5914,                  0.734,                0.67988,                0.72346,                 0.3637,                 1.7018,                 1.2964,                 1.7302,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.5589,                  1.264,                 1.5808,                0.72744,                0.68654,                0.73223,                0.36269,                 1.7041,                 1.2783,                 1.7339,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.5511,                 1.2565,                 1.5839,                 0.7509,                0.66757,                0.72161,                0.35984,                 1.7175,                 1.2572,                 1.7444,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.5319,                 1.2455,                 1.5678,                0.71695,                0.69243,                0.71918,                0.36138,                 1.7088,                  1.302,                 1.7355,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.5443,                 1.2307,                 1.5682,                0.73141,                0.69767,                0.72508,                0.36298,                 1.7179,                 1.2774,                 1.7547,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5154,                 1.2181,                 1.5538,                0.73251,                0.69987,                0.72803,                0.35964,                 1.7228,                  1.256,                 1.7549,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.5285,                 1.2231,                 1.5684,                0.73415,                 0.6846,                 0.7233,                0.37184,                 1.7008,                 1.2674,                  1.732,             0.00074282,             0.00074282,             0.00074282
                     59,                  1.532,                 1.2144,                 1.5674,                0.74201,                0.67974,                0.72719,                0.36214,                 1.7202,                 1.2636,                 1.7479,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.5311,                 1.2103,                 1.5593,                0.75003,                0.66492,                0.72499,                0.36435,                 1.7218,                 1.2586,                 1.7576,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5094,                 1.1835,                 1.5559,                0.74328,                0.68168,                0.72495,                0.36393,                 1.7257,                 1.2604,                 1.7623,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.4991,                 1.1772,                 1.5456,                0.75917,                0.67049,                0.73176,                0.36696,                 1.7252,                 1.2545,                 1.7578,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.4866,                 1.1689,                 1.5404,                0.72346,                0.68693,                 0.7321,                0.36728,                  1.712,                 1.2456,                 1.7448,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.4939,                 1.1636,                  1.542,                0.74245,                0.68621,                0.73967,                0.37148,                 1.7253,                 1.2504,                 1.7585,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4858,                 1.1485,                 1.5301,                0.73451,                0.69646,                0.73209,                0.36296,                 1.7209,                 1.2482,                 1.7595,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.4802,                 1.1566,                 1.5359,                0.76397,                0.67233,                0.73523,                0.36884,                 1.7138,                 1.2456,                 1.7449,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.4722,                 1.1392,                 1.5248,                0.70855,                0.68894,                0.72729,                 0.3669,                 1.7279,                 1.2306,                 1.7539,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.4789,                 1.1402,                 1.5196,                0.73055,                0.68384,                0.73343,                0.36737,                 1.7263,                 1.2349,                 1.7551,             0.00057778,             0.00057778,             0.00057778
